,zipcode,drug_change_area,larceny_change_area,robbery_change_area,streets_sidewalks311_before,streets_sidewalks311_after,home311_before,home311_after,noise311_before,noise311_after,transportation311_before,transportation311_after,public_health_safety311_before,public_health_safety311_after,vehicles_parking311_before,vehicles_parking311_after,master_card_before,master_card_after,drugs_before,drugs_after,petit_larceny_before,petit_larceny_after,robbery_before,robbery_after,private_vehicles_before,private_vehicles_after,subway_before,subway_after,yellow_taxi_before,yellow_taxi_after,drug_change_abs,drug_change_rate,petit_larceny_change_abs,petit_larceny_change_rate,robbery_change_abs,robbery_change_rate,SS_change_rate,H_change_rate,N_change_rate,T_change_rate,PHS_change_rate,VP_change_rate,SS_change_pop,H_change_pop,N_change_pop,T_change_pop,PHS_change_pop,VP_change_pop,SS_change_area,H_change_area,N_change_area,T_change_area,PHS_change_area,VP_change_area,MasterCard_growth_rank,subway_change_abs,subway_change_rate,yellowTaxi_change_abs,yellowTaxi_change_rate,privateVehicle_change_abs,privateVehicle_change_rate,population,area,pv_change_area,sub_change_area,yel_change_area,pv_change_pop,sub_change_pop,yel_change_pop,taxi_before,taxi_after,taxi_2015,fhv_before,fhv_after,taxi_change_abs,taxi_change_rate,taxi_change_pop,taxi_change_area,taxi_change_abs_15,fhv_change_abs,fhv_change_rate,fhv_change_pop,fhv_change_area,fhv_taxi_change_abs,fhv_taxi_change_rate,drug_change_area,larceny_change_area,robbery_change_area,drug_change_pop,larceny_change_pop,robbery_change_pop,average_rent_2013,average_rent_2017,taxi_change_rate_15,renovation_index,renovation_index_with_rent,business_renewal,rent_increase,count_new_buildings,count_major_renovation,Total_building_permits,Urban_landscape_renewal,new_building_area,new_building_pop,new_building_tbp,major_renovation_area,major_renovation_pop,major_renovation_tbp,log_fhv_taxi_change
0,10001,-6.80E-06,-7.72E-05,-9.55E-07,193.33,210,59.88,72,299.33,519,26,69,38,84.5,358.5,302,487.75,638.83,253,132,3407,2034,98,81,10654536.03,7449561.614,322307419,307476846,10654519.91,7448792.729,-121,-0.47826087,-1373,-0.402993836,-17,-0.173469388,0.086225625,0.20240481,0.733872315,1.653846154,1.223684211,-0.157601116,0.743764779,0.540757596,9.801008343,1.918529425,2.074688797,-2.52085843,0.936783112,0.681092461,12.34451987,2.416417146,2.613102263,-3.175059739,446.31,-14830573,-0.04601375,-3205727.178,-0.300879552,-3204974.416,-0.300808445,22413,17794940.77,-0.180105933,-0.833415137,-0.180148235,-142.9962261,-661.6951323,-143.0298121,10464128.92,7449251.614,9465901.11,1560,310,-3014877.302,-0.288115459,-134.5146701,-0.169423284,-2016649.496,-1250,-0.801282051,-0.055771204,-7.02E-05,0.00061984,-0.588238467,-6.80E-06,-7.72E-05,-9.55E-07,-0.005398653,-0.061259091,-0.000758488,3464.666667,3873.166667,-0.213043584,11.13414696,12.44691366,0.533825338,1.11790456,852,644,17003,2.68E-05,4.79E-05,0.038013653,0.050108804,3.62E-05,0.028733324,0.037875669,-1.376286391
1,10002,2.44E-06,8.75E-07,-4.95E-07,277,378.33,200,215.88,1017,1923,196.5,164.5,117,167.5,192.5,155.5,759.92,625.5,311,375,835,858,182,169,3224801.675,2308049.66,52878386,53602888,3224770.717,2121681.578,64,0.205787781,23,0.02754491,-13,-0.071428571,0.365812274,0.0794,0.890855457,-0.162849873,0.431623932,-0.192207792,1.246294816,0.195313941,11.14322612,-0.393579731,0.621118012,-0.455076564,3.855765006,0.60425884,34.47471722,-1.217650056,1.921603995,-1.407907878,635.54,724502,0.013701288,-1103089.139,-0.342067463,-916752.0147,-0.284281673,81305,26280128.54,-0.034883848,0.027568434,-0.041974267,-11.27546909,8.910915688,-13.5672977,3182386.02,2121805.66,2709872.502,26513,186244,-1060580.359,-0.33326578,-13.04446663,-0.040356742,-588066.8412,159731,6.024629427,1.964590124,0.006078014,-0.271620484,6.241638471,2.44E-06,8.75E-07,-4.95E-07,0.000787159,0.000282885,-0.000159892,3278.25,3699.666667,-0.217009044,9.586100495,10.81838678,0.473818646,1.128549277,559,485,10066,2.56E-05,2.13E-05,0.006875346,0.055533479,1.85E-05,0.005965193,0.048181999,2.194056597
2,10003,-9.14E-06,-2.12E-05,-8.37E-07,242.33,268,141.38,122.25,682,1040.67,46,50.5,88,142.5,310,427.5,165,451.75,231,89,1848,1519,97,84,9311406.191,6141020.953,240163148,234372400,9311386.842,5397511.536,-142,-0.614718615,-329,-0.178030303,-13,-0.134020619,0.10592993,-0.135309096,0.525909091,0.097826087,0.619318182,0.379032258,0.459393679,-0.342352983,6.418805254,0.080532589,0.975339132,2.102795376,1.652038769,-1.23114537,23.08284944,0.28960555,3.50744499,7.561922685,342.43,-5790748,-0.024111726,-3913875.306,-0.420332156,-3170385.237,-0.340484044,55878,15538376.27,-0.204035813,-0.372673946,-0.251884446,-56.73762908,-103.631984,-70.04322463,8794202.398,5397968.953,7642871.23,258529,743052,-3396233.445,-0.386190048,-60.77943815,-0.218570679,-2244902.276,484523,1.874153383,8.671087011,0.031182344,-0.215832558,2.167878373,-9.14E-06,-2.12E-05,-8.37E-07,-0.002541251,-0.005887827,-0.00023265,3485.583333,4061.833333,-0.29372499,5.799911423,6.758775016,0.420634921,1.165323834,207,694,16577,1.54E-05,1.33E-05,0.003704499,0.012487181,4.47E-05,0.012419915,0.041865235,1.40350874
3,10004,6.25E-06,1.77E-05,1.50E-06,88.33,62.33,4.12,4.12,22,29.67,52,26.5,5.5,14.5,71.5,30.5,377.75,825.58,5,30,124,195,6,12,736979.9301,605068.896,36511333,47719573,736975.4154,585199.5273,25,5,71,0.572580645,6,1,-0.29435073,0,0.348636364,-0.490384615,1.636363636,-0.573426573,-11.88843164,0,3.507087334,-11.65980796,4.115226337,-18.7471422,-1.918033243,0,0.565819807,-1.881147988,0.663934584,-3.024590882,695.11,11208240,0.306979753,-151775.8881,-0.205944303,-131911.0341,-0.178988638,2187,4002521.097,-0.032956987,2.800295046,-0.037920072,-60.31597355,5124.938272,-69.39912579,773690.5452,585228.896,694227.7648,584,19840,-188461.6492,-0.243587892,-86.1735936,-0.047085735,-108998.8688,19256,32.97260274,8.804755373,0.004810968,-0.176662384,33.1296101,6.25E-06,1.77E-05,1.50E-06,0.011431184,0.032464563,0.002743484,3649,4235.166667,-0.15700736,8.015116986,9.302646284,0.496062992,1.160637618,45,95,4331,1.88E-05,1.12E-05,0.020576132,0.01039021,2.37E-05,0.0434385,0.021934888,3.69635145
7,10005,9.60E-07,4.32E-06,1.44E-06,101.67,60.33,7.62,6.5,44.67,72,31.5,27,1.5,4,57.5,30.5,461.58,461.75,2,4,89,98,3,6,764413.8418,480270.1868,63790177,57373710,764411.9069,440667.1339,2,1,9,0.101123596,3,1,-0.406609619,-0.146981627,0.611820013,-0.142857143,1.666666667,-0.469565217,-5.099296904,-0.138152214,3.371160725,-0.55507586,0.308375478,-3.330455162,-19.84731737,-0.53771155,13.12112201,-2.16044819,1.200248995,-12.96268914,424.63,-6416467,-0.10058707,-323744.773,-0.423521363,-284143.6549,-0.371714429,8107,2082901.141,-0.136417254,-3.080543226,-0.155429735,-35.04917416,-791.4724312,-39.93397965,776456.5524,440711.1868,676301.823,3955,39559,-335745.3655,-0.432407151,-41.41425503,-0.161191215,-235590.6362,35604,9.002275601,4.391760207,0.017093466,-0.15112655,9.350626926,9.60E-07,4.32E-06,1.44E-06,0.0002467,0.001110152,0.000370051,3508.833333,3894.5,-0.348351325,7.73451714,8.584641715,0.388888889,1.109913077,3,96,3449,2.02E-05,1.44E-06,0.000370051,0.000869817,4.61E-05,0.011841618,0.027834155,2.731062332
8,10006,4.08E-06,1.98E-05,5.83E-07,43.67,41.67,4.75,4.5,20.33,36.33,15,17,1.5,11,26.5,21.5,674.08,597.83,2,9,86,120,4,5,421116.5693,1720733.888,10140078,10392416,421115.9243,347091.0507,7,3.5,34,0.395348837,1,0.25,-0.045798031,-0.052631579,0.787014265,0.133333333,6.333333333,-0.188679245,-0.664231152,-0.083028894,5.31384922,0.664231152,3.155097974,-1.660577881,-1.165066017,-0.145633252,9.320528139,1.165066017,5.534063582,-2.912665043,655.11,252338,0.024885213,-74024.87365,-0.175782651,1299617.318,3.086122497,3011,1716640.92,0.757069987,0.146995214,-0.043121932,431.6231546,83.80538027,-24.58481357,378384.4272,347121.8878,323779.05,290773,1373612,-31262.53947,-0.082621105,-10.38277631,-0.018211461,23342.8378,1082839,3.724001197,359.6276984,0.630789461,46.38849009,3.651906236,4.08E-06,1.98E-05,5.83E-07,0.002324809,0.01129193,0.000332116,3245.25,3417.333333,0.07209496,32.53418901,34.259354,0.490566038,1.053026218,116,61,2037,8.81E-05,6.76E-05,0.038525407,0.05694649,3.55E-05,0.02025905,0.029945999,1.48304151
9,10007,0,-1.80E-05,-5.63E-07,145.67,115.33,12.5,18.38,44,148.67,95,77.5,17,19.5,78.5,57,519.17,727.92,9,9,670,574,12,9,1507801.273,840055.5966,115173673,104131995,1507797.403,831957.9357,0,0,-96,-0.143283582,-3,-0.25,-0.208278987,0.4704,2.378863636,-0.184210526,0.147058824,-0.27388535,-4.143110747,0.802949611,14.29332241,-2.389730985,0.341390141,-2.93595521,-5.694582345,1.103630329,19.64574601,-3.284614075,0.469230582,-4.035383006,465.69,-11041678,-0.095869809,-675839.4678,-0.448229627,-667745.6766,-0.442860534,7323,5327870.977,-0.125330677,-2.072437198,-0.126849819,-91.18471619,-1507.808002,-92.28997239,1464137.818,832008.5966,1342977.758,1231,8047,-632129.2212,-0.431741612,-86.3210735,-0.118645745,-510969.161,6816,5.53696182,0.930766079,0.00127931,-0.013339357,5.917436595,0,-1.80E-05,-5.63E-07,0,-0.013109381,-0.000409668,2168.490683,2571.45911,-0.380474776,12.63520073,14.98318728,0.427777778,1.185828987,112,243,5207,3.42E-05,2.10E-05,0.015294278,0.021509506,4.56E-05,0.033183122,0.046667947,2.356274365
10,10009,-9.43E-07,-4.15E-06,-1.07E-06,146,160,138.38,127.5,1056.33,1659.33,47.5,53.5,104.5,203.5,152.5,142.5,335.42,350.08,239,224,602,536,84,67,3371332.175,2130430.751,15523598,14192944,3371315.406,2028082.578,-15,-0.062761506,-66,-0.109634551,-17,-0.202380952,0.095890411,-0.078624079,0.570844338,0.126315789,0.947368421,-0.06557377,0.227808966,-0.177040111,9.812057603,0.097632414,1.61093483,-0.16272069,0.880308297,-0.684125305,37.91613596,0.377274985,6.225037246,-0.628791641,414.56,-1330654,-0.085718143,-1343232.828,-0.39842989,-1240901.425,-0.368074506,61455,15903519.3,-0.078026844,-0.083670411,-0.084461357,-20.19203359,-21.65249369,-21.85717725,3239720.626,2028225.751,2809195.72,13936,102205,-1211494.876,-0.373950416,-19.7135282,-0.076177785,-780969.9699,88269,6.333883467,1.436319258,0.005550281,-0.113024832,6.611888294,-9.43E-07,-4.15E-06,-1.07E-06,-0.000244081,-0.001073957,-0.000276625,3268.916667,3831.833333,-0.278004827,11.51206049,13.49446976,0.543378995,1.172202819,251,322,6782,2.58E-05,1.58E-05,0.004084289,0.037009732,2.02E-05,0.005239606,0.04747862,2.318242006
11,10010,4.09E-07,-1.64E-05,4.09E-07,96.67,147,43.25,60,216,485,15,15,45.5,56,195,135,443,435.42,17,21,544,384,26,30,5077293.595,3619457.078,59533965,53891786,5077280.051,3336738.707,4,0.235294118,-160,-0.294117647,4,0.153846154,0.520637219,0.387283237,1.24537037,0,0.230769231,-0.307692308,1.684347913,0.560556876,9.002376092,0,0.351393862,-2.007964928,5.152330251,1.714713525,27.53778735,0,1.074895045,-6.142257402,406.96,-5642179,-0.094772438,-1740541.343,-0.342809797,-1457836.517,-0.287128662,29881,9768395.57,-0.149240119,-0.577595262,-0.178180883,-48.78807659,-188.8216258,-58.24909954,4766886.872,3337047.078,4257417.667,29572,282410,-1429839.794,-0.299952533,-47.85113597,-0.146374068,-920370.5887,252838,8.549912079,8.461497273,0.025883268,-0.274713255,8.766092558,4.09E-07,-1.64E-05,4.09E-07,0.000133864,-0.005354573,0.000133864,3385.083333,3807.083333,-0.216180479,5.035270325,5.662990197,0.351738241,1.124664582,174,334,11354,1.68E-05,1.78E-05,0.005823098,0.015324996,3.42E-05,0.011177671,0.029416946,2.500108435
12,10011,-2.48E-06,-1.28E-05,-5.52E-08,227,271,145.25,118.75,461.33,584,48,61.5,80.5,158.5,281.5,205.5,372.92,385.33,235,190,1324,1092,105,104,8990972.517,5636694.95,126527952,116557241,8990964.132,5506726.988,-45,-0.191489362,-232,-0.175226586,-1,-0.00952381,0.193832599,-0.182444062,0.2659051,0.28125,0.968944099,-0.269982238,0.86966834,-0.523777523,2.424595802,0.266830059,1.541684785,-1.502154406,2.428468247,-1.462600194,6.770459088,0.745098212,4.305011893,-4.194626972,419.46,-9970711,-0.078802437,-3484237.144,-0.387526531,-3354277.567,-0.373071718,50594,18118416.85,-0.185130831,-0.55030807,-0.19230362,-66.2979319,-197.0729928,-68.86660758,8578401.876,5507193.95,7452232.894,17167,129501,-3071207.926,-0.358016326,-60.7030068,-0.169507521,-1945038.944,112334,6.543601095,2.220302803,0.00619999,-0.057754114,6.804601922,-2.48E-06,-1.28E-05,-5.52E-08,-0.000889434,-0.004585524,-1.98E-05,3525.166667,4286.25,-0.261000826,7.852402229,9.547735536,0.470756063,1.215899957,392,902,18225,1.92E-05,2.16E-05,0.007747954,0.021508916,4.98E-05,0.017828201,0.049492455,2.323158143
