,zipcode,Gentrification_index,Business_renewal_index,Rent_increase,New_building_permits_over_total_permits,Major_renovation_permits_over_total_permits,Robbery_per_capita_change,Commercial_activity_growth,Taxi_pick_ups_change_per_square_mile,Noise_complaints_change_per_square_mile,Home_complaints_change_per_square_mile,Transportation_complaints_change_per_square_mile,Vehicle_parking_complaints_change_per_capita
0,10001,12.44691366,0.533825338,0.11790456,0.050108804,0.037875669,-0.000758488,446.31,-0.169423284,12.34451987,0.681092461,2.416417146,-2.52085843
1,10002,10.81838678,0.473818646,0.128549277,0.055533479,0.048181999,-0.000159892,635.54,-0.040356742,34.47471722,0.60425884,-1.217650056,-0.455076564
2,10003,6.758775016,0.420634921,0.165323834,0.012487181,0.041865235,-0.00023265,342.43,-0.218570679,23.08284944,-1.23114537,0.28960555,2.102795376
3,10004,9.302646284,0.496062992,0.160637618,0.01039021,0.021934888,0.002743484,695.11,-0.047085735,0.565819807,0,-1.881147988,-18.7471422
4,10005,8.584641715,0.388888889,0.109913077,0.000869817,0.027834155,0.000370051,424.63,-0.161191215,13.12112201,-0.53771155,-2.16044819,-3.330455162
5,10006,34.259354,0.490566038,0.053026218,0.05694649,0.029945999,0.000332116,655.11,-0.018211461,9.320528139,-0.145633252,1.165066017,-1.660577881
6,10007,14.98318728,0.427777778,0.185828987,0.021509506,0.046667947,-0.000409668,465.69,-0.118645745,19.64574601,1.103630329,-3.284614075,-2.93595521
7,10009,13.49446976,0.543378995,0.172202819,0.037009732,0.04747862,-0.000276625,414.56,-0.076177785,37.91613596,-0.684125305,0.377274985,-0.16272069
8,10010,5.662990197,0.351738241,0.124664582,0.015324996,0.029416946,0.000133864,406.96,-0.146374068,27.53778735,1.714713525,0,-2.007964928
9,10011,9.547735536,0.470756063,0.215899957,0.021508916,0.049492455,-1.98E-05,419.46,-0.169507521,6.770459088,-1.462600194,0.745098212,-1.502154406
10,10012,14.33200322,0.456521739,0.185828987,0.02721807,0.053054924,-0.000205965,399.63,-0.250638391,27.98970038,-4.907687721,-2.664857029,1.75070028
11,10013,11.99255429,0.434645669,0.185828987,0.025794205,0.066048797,-0.000250134,437.76,-0.095790595,7.701896141,-2.45562122,-1.283649357,-3.251742005
12,10014,13.84500187,0.519191919,0.212289336,0.015490398,0.067256777,-0.000319203,325.7,-0.156466734,3.981329436,-1.288950105,-1.236657173,-2.761108274
13,10016,6.735035113,0.473071325,0.108511334,0.022838096,0.026973644,-9.16E-05,412.65,-0.194328614,10.03828973,-1.154735713,0.13295748,-1.840457093
14,10017,7.66362806,0.876826722,0.077874984,0.006598028,0.018779002,6.28E-05,508.41,-0.314938587,11.67403778,0.255248334,0.612596,-5.999497424
15,10018,9.645610585,0.463736264,0.185828987,0.038077803,0.019313501,-0.001272033,518.37,-0.069632361,4.140747499,0.735115787,0.607147727,-8.631655461
16,10019,5.811130826,0.429090909,0.125197944,0.020120397,0.032105863,0.000333603,537.85,-0.179228891,-1.168448712,1.46746536,1.141893059,-5.861888195
17,10021,8.537220173,0.473572939,0.105119608,0.01042422,0.042422045,0.000176604,449.8,-0.138084827,4.287701571,-0.250592336,-0.762258057,-1.280381465
18,10022,3.71533971,0.336647727,0.148245936,0.014636186,0.019654307,-0.000120718,359.93,-0.27759634,7.4636624,1.345816178,0.432106771,-3.244303606
19,10023,5.902964042,0.374745418,0.126840427,0.012547614,0.041974755,-0.000159236,319.46,-0.103693229,6.00418886,-0.048643527,0.920282943,-0.772292994
20,10024,8.768991825,0.4971537,0.218437073,0.007474333,0.061765914,-0.000170879,425.11,-0.016389903,10.57815498,-1.229164124,1.289485834,-0.606619846
21,10025,5.259394319,0.553706505,0.102593272,0.006493506,0.031675641,-0.000229038,412.61,-0.083255052,21.54750424,-1.114561212,2.394167138,-0.104108106
